num_links,num_images,num_iframes,num_forms,num_inputs,num_buttons,num_scripts,has_unescape,num_styles,css_external_links,num_hidden_elements,label,complexity_score,category
69,9,0,3,8,0,21,0,7,6,2,1,0.00293794185674684,Hard
31,0,0,0,0,0,0,0,1,0,0,1,0.00010055102861526111,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
3,1,0,0,0,0,0,0,1,0,0,1,9.73074470470269e-06,Simple
163,21,0,9,25,2,23,0,2,12,3,1,0.003501327545926446,Hard
9,8,0,0,2,2,3,0,1,1,6,1,0.00041692576676249064,Simple
4,5,0,0,0,1,1,0,2,1,0,1,0.00014221883715573113,Simple
10,2,0,0,4,0,21,0,1,4,2,1,0.0027465705442210205,Hard
0,0,3,1,8,6,9,0,5,2,2,1,0.0011632005979451477,Medium
95,42,0,0,1,2,14,0,2,3,2,1,0.0021175634013413706,Medium
4,1,0,1,23,0,6,0,2,2,1,1,0.0007884413915697021,Medium
0,0,0,1,3,0,3,1,1,0,0,1,0.00038773353264838256,Simple
14,1,0,0,0,0,7,0,3,4,1,1,0.0009501217181348385,Medium
1,3,0,1,3,0,4,0,1,1,0,1,0.000520221625099411,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
16,3,0,1,3,2,7,0,0,1,0,1,0.0009566088812713071,Medium
12,1,0,1,6,0,6,0,4,5,5,1,0.0008143900441155759,Medium
1,1,0,1,2,1,2,1,0,3,0,1,0.0002617326033338226,Simple
2,21,0,2,6,9,6,0,0,6,6,1,0.0007819542284332336,Medium
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
1,3,0,1,3,0,4,0,2,1,0,1,0.000520221625099411,Simple
2,0,0,0,1,0,10,0,1,4,1,1,0.0012989322719644104,Medium
0,2,0,1,3,0,3,0,1,1,0,1,0.00038773353264838256,Simple
0,64,2,0,0,0,15,1,4,2,2,1,0.0019386676632419128,Medium
4,4,0,1,31,1,2,0,3,1,1,1,0.0002714633480385253,Simple
2,1,0,0,0,0,0,0,1,1,0,1,6.48716313646846e-06,Simple
35,2,8,2,7,3,46,0,12,2,10,1,0.006058772855496731,Hard
7,1,0,2,3,2,0,0,0,1,0,1,2.270507097763961e-05,Simple
2,7,0,0,0,1,8,0,0,9,0,1,0.001040443250198822,Medium
4,5,0,0,0,1,1,0,2,1,0,1,0.00014221883715573113,Simple
22,1,0,1,5,1,4,0,11,6,2,1,0.0005883368380323298,Simple
3,4,0,0,0,1,9,0,1,5,0,1,0.0011729313426498504,Medium
